"Close Business Day Now","Закрыть бизнес день сейчас"
"Status message: not reconciled, totals provided","Обратитесь к дежурной службе: сверка итогов не прошла"
"Accepted","Одобрено"
"Status message: impossible to trace back original transaction","Невозможно отследить исходную транзакцию"
"Status message: invalid transaction reference number","Неверный номер транзакции"
"Status message: reference number/PAN incompatible","Номер транзакции/PAN несовместим"
"Status message: POS photograph is not available","POS фотография недоступна"
"Status message: requested item supplied","Запрошенный элемент предоставлено"
"Status message: request cannot be fulfilled - required documentation is not available","Запрос не может быть выполнен - необходимая документация отсутствует"
"List ready","Подготовлен список"
"List not ready","Список не подготовлен"
"Accepted (for fee collection)","Принято (для сбора платы)"
"Accepted (for network management)","Одобрено (для сетевого менеджмента)"
"Advice acknowledged, no financial liability accepted","Запрос авторизован, никаких финансовых обязательств не одобрено"
"Advice acknowledged, financial liability accepted","Запрос авторизован, финансовые обязательства одобрены"
"Decline reason message: invalid transaction","Обратитесь к дежурной службе: неверная операция"
"Status message: re-enter transaction","Обратитесь к дежурной службе: повторите операцию"
"Decline reason message: format error","Обратитесь к дежурной службе: ошибка формата данных"
"Decline reason message: acqiurer not supported by switch","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: cutover in process","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: card issuer or switch inoperative","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: transaction destination cannot be found for routing","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: system malfunction","Обратитесь к дежурной службе: системная ошибка"
"Decline reason message: card issuer signed off","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: card issuer timed out","Обратитесь к дежурной службе: эмитент карты недоступен"
"Decline reason message: card issuer unavailable","Обратитесь к дежурной службе: эмитент карты недоступен"
"Decline reason message: duplicate transmission","Обратитесь к дежурной службе: дублированная операция"
"Decline reason message: not able to trace back to original transaction","Обратитесь к дежурной службе: оригинальная операция не найдена"
"Decline reason message: reconciliation cutover or checkpoint error","Обратитесь к дежурной службе: ошибка связи с платежной системой"
"Decline reason message: MAC incorrect","Обратитесь к дежурной службе: ошибка MAC"
"Decline reason message: MAC key sync error","Обратитесь к дежурной службе: ошибка MAC"
"Decline reason message: no communication keys available for use","Обратитесь к дежурной службе: ошибка PIN-PAD"
"Decline reason message: encryption key sync error","Обратитесь к дежурной службе: ошибка шифрования"
"Decline reason message: security software/hardware error - try again","Обратитесь к дежурной службе: ошибка шифрования"
"Decline reason message: security software/hardware error - no action","Обратитесь к дежурной службе: ошибка шифрования"
"Decline reason message: message number out of sequence","Обратитесь к дежурной службе: неверный номер сообщения"
"Status message: request in progress","Обратитесь к дежурной службе: запрос обрабатывается"
"Decline reason message: violation of business arrangement","Отказ: недопустимая операция"
"Approved","Успешно"
"Tried to go Online, not succeed, Approved in Offline","Попытка в онлайн не удалась, одобрено оффлайн"
"Allowed Ip Addresses","Разрешенные Ip Адреса"
"Each address should be start from new line","Каждый адрес должен начинаться с новой строки"
